📺港台频道,#genre#
凤凰资讯,mitv://generationnexxxt.com:19806/6684e9f6606f49fba9b6de846dbdcb64
凤凰资讯,mitv://generationnexxxt.com:19806/0b7958cc2d1c4a6f9f9449e92ad92b9e
凤凰资讯,http://113.117.74.99:8081/hls/36/index.m3u8
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰资讯,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=156407

凤凰中文,mitv://generationnexxxt.com:19806/64e1ab2a000417167359b3ca0417008f
凤凰中文,mitv://generationnexxxt.com:19806/647574b800008e59cca4d6bf018a19b0
凤凰中文,http://113.117.74.99:8081/hls/37/index.m3u8
凤凰中文,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://www.372583307.top:4022/udp/233.50.200.191:5140

凤凰香港,http://113.117.74.99:8081/hls/38/index.m3u8
凤凰香港,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=153402

翡翠台,mitv://generationnexxxt.com:19806/03b76f07cea3474a913541c586fc0747
翡翠台,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=571187
翡翠台,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=153505
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8

无线新闻台,mitv://generationnexxxt.com:19806/bd60966852d044a194e8136c596219fb
无线新闻台,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=153399

🌏央视卫视,#genre#
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8
CCTV4,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8
CCTV6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8
CCTV7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8
CCTV9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8
CCTV10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8
CCTV11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8
CCTV12,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8
CCTV13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8

CCTV1,http://106.115.24.82:9901/tsfile/live/1000_1.m3u8
CCTV2,http://106.115.24.82:9901/tsfile/live/faacts/1001_1.m3u8
CCTV3,http://106.115.24.82:9901/tsfile/live/1002_1.m3u8
CCTV4,http://106.115.24.82:9901/tsfile/live/faacts/1003_1.m3u8
CCTV6,http://106.115.24.82:9901/tsfile/live/0006_1.m3u8
CCTV7,http://106.115.24.82:9901/tsfile/live/faacts/0007_1.m3u8
CCTV8,http://106.115.24.82:9901/tsfile/live/0008_1.m3u8
CCTV9,http://106.115.24.82:9901/tsfile/live/0009_1.m3u8
CCTV10,http://106.115.24.82:9901/tsfile/live/faacts/0010_1.m3u8
CCTV11,http://106.115.24.82:9901/tsfile/live/0011_1.m3u8
CCTV12,http://106.115.24.82:9901/tsfile/live/faacts/0012_1.m3u8
CCTV13,http://106.115.24.82:9901/tsfile/live/0013_1.m3u8
CCTV15,http://106.115.24.82:9901/tsfile/live/faacts/0015_1.m3u8
CCTV17,http://106.115.24.82:9901/tsfile/live/1029_1.m3u8

CCTV1,http://219.146.90.158:9901/tsfile/live/0001_1.m3u8
CCTV2,http://219.146.90.158:9901/tsfile/live/0002_1.m3u8
CCTV3,http://219.146.90.158:9901/tsfile/live/0003_1.m3u8
CCTV4,http://219.146.90.158:9901/tsfile/live/0004_1.m3u8
CCTV5,http://219.146.90.158:9901/tsfile/live/0005_1.m3u8
CCTV7,http://219.146.90.158:9901/tsfile/live/0007_1.m3u8
CCTV8,http://219.146.90.158:9901/tsfile/live/0008_1.m3u8
CCTV9,http://219.146.90.158:9901/tsfile/live/0009_1.m3u8
CCTV10,http://219.146.90.158:9901/tsfile/live/0010_1.m3u8
CCTV11,http://219.146.90.158:9901/tsfile/live/0011_1.m3u8
CCTV12,http://219.146.90.158:9901/tsfile/live/0012_1.m3u8
CCTV13,http://219.146.90.158:9901/tsfile/live/0013_1.m3u8
CCTV15,http://219.146.90.158:9901/tsfile/live/0015_1.m3u8

CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8
CCTV2,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8
CCTV3,http://183.223.157.33:9901/tsfile/live/0003_1.m3u8
CCTV4,http://183.223.157.33:9901/tsfile/live/0004_1.m3u8
CCTV6,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8
CCTV7,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8
CCTV8,http://183.223.157.33:9901/tsfile/live/0008_1.m3u8
CCTV9,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8
CCTV10,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8
CCTV11,http://183.223.157.33:9901/tsfile/live/0011_1.m3u8
CCTV12,http://183.223.157.33:9901/tsfile/live/0012_1.m3u8
CCTV13,http://183.223.157.33:9901/tsfile/live/0013_1.m3u8
CCTV15,http://183.223.157.33:9901/tsfile/live/0015_1.m3u8
CCTV17,http://183.223.157.33:9901/tsfile/live/0016_1.m3u8


CCTV1,http://110.7.128.159:8096/tsfile/live/0001_1.m3u8
CCTV2,http://110.7.128.159:8096/tsfile/live/0002_1.m3u8
CCTV3,http://110.7.128.159:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.128.159:8096/tsfile/live/0004_1.m3u8
CCTV6,http://110.7.128.159:8096/tsfile/live/0006_1.m3u8
CCTV7,http://110.7.128.159:8096/tsfile/live/0007_1.m3u8
CCTV8,http://110.7.128.159:8096/tsfile/live/0008_1.m3u8
CCTV9,http://110.7.128.159:8096/tsfile/live/0009_1.m3u8
CCTV10,http://110.7.128.159:8096/tsfile/live/0010_1.m3u8
CCTV11,http://110.7.128.159:8096/tsfile/live/0011_1.m3u8
CCTV12,http://110.7.128.159:8096/tsfile/live/0012_1.m3u8
CCTV13,http://110.7.128.159:8096/tsfile/live/0013_1.m3u8
CCTV15,http://110.7.128.159:8096/tsfile/live/0014_2.m3u8

CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV2,http://www.furymax.top:85/rtp/239.69.1.102:10250
CCTV3,http://www.furymax.top:85/rtp/239.69.1.122:10370
CCTV4,http://www.furymax.top:85/rtp/239.69.1.138:10466
CCTV5,http://www.furymax.top:85/rtp/239.69.1.123:10376
CCTV6,http://www.furymax.top:85/rtp/239.69.1.124:10382
CCTV7,http://www.furymax.top:85/rtp/239.69.1.103:10256
CCTV8,http://www.furymax.top:85/rtp/239.69.1.125:10388
CCTV9,http://www.furymax.top:85/rtp/239.69.1.104:10262
CCTV10,http://www.furymax.top:85/rtp/239.69.1.105:10268
CCTV11,http://www.furymax.top:85/rtp/239.69.1.154:10560
CCTV12,http://www.furymax.top:85/rtp/239.69.1.106:10274
CCTV13,http://www.furymax.top:85/rtp/239.254.96.161:9040
CCTV14,http://www.furymax.top:85/rtp/239.69.1.107:10280
CCTV15,http://www.furymax.top:85/rtp/239.69.1.155:10566
CCTV16,http://www.furymax.top:85/rtp/239.69.1.247:11124
CCTV16,http://www.furymax.top:85/rtp/239.69.1.249:11136
CCTV17,http://www.furymax.top:85/rtp/239.69.1.152:10548

CCTV1,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227034/10000100000000060000000000570885_0.smil
CCTV2,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227231/10000100000000060000000000680051_0.smil
CCTV3,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227255/10000100000000060000000000746031_0.smil
CCTV4,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227022/10000100000000060000000000571118_0.smil
CCTV6,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227266/10000100000000060000000000746033_0.smil
CCTV7,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227229/10000100000000060000000000680052_0.smil
CCTV8,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227257/10000100000000060000000000746034_0.smil
CCTV9,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227305/10000100000000060000000001945877_0.smil
CCTV10,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227035/10000100000000060000000000570886_0.smil
CCTV11,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227307/10000100000000060000000001945885_0.smil
CCTV12,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227234/10000100000000060000000000680049_0.smil
CCTV13,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227314/10000100000000060000000001945886_0.smil
CCTV15,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227316/10000100000000060000000001945887_0.smil
CCTV17,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227027/10000100000000060000000000570952_0.smil

CCTV1,http://218.3.138.25:9901/tsfile/live/1000_1.m3u8
CCTV2,http://218.3.138.25:9901/tsfile/live/1001_1.m3u8
CCTV3,http://218.3.138.25:9901/tsfile/live/1002_1.m3u8
CCTV4,http://218.3.138.25:9901/tsfile/live/1003_1.m3u8
CCTV6,http://218.3.138.25:9901/tsfile/live/1005_1.m3u8
CCTV7,http://218.3.138.25:9901/tsfile/live/1006_1.m3u8
CCTV8,http://218.3.138.25:9901/tsfile/live/1007_1.m3u8
CCTV9,http://218.3.138.25:9901/tsfile/live/1008_1.m3u8
CCTV10,http://218.3.138.25:9901/tsfile/live/1009_1.m3u8
CCTV11,http://218.3.138.25:9901/tsfile/live/1010_1.m3u8
CCTV12,http://218.3.138.25:9901/tsfile/live/1011_1.m3u8
CCTV13,http://218.3.138.25:9901/tsfile/live/1012_1.m3u8
CCTV15,http://218.3.138.25:9901/tsfile/live/1014_1.m3u8

CCTV1,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8
CCTV2,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8
CCTV3,http://221.226.4.10:9901/tsfile/live/0003_1.m3u8
CCTV4,http://221.226.4.10:9901/tsfile/live/0004_1.m3u8
CCTV6,http://221.226.4.10:9901/tsfile/live/0006_1.m3u8
CCTV7,http://221.226.4.10:9901/tsfile/live/0007_1.m3u8
CCTV8,http://221.226.4.10:9901/tsfile/live/0008_1.m3u8
CCTV9,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8
CCTV10,http://221.226.4.10:9901/tsfile/live/0010_1.m3u8
CCTV12,http://221.226.4.10:9901/tsfile/live/0012_1.m3u8
CCTV13,http://221.226.4.10:9901/tsfile/live/1001_1.m3u8

CCTV1,rtsp://115.153.245.70/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV1,rtsp://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV1,rtsp://115.153.212.72/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV1,http://171.14.89.201:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv
